Year_Month,Year,Primary.Type,Location.Description,total_crimes,days_with_crime,avg_daily_crimes
2004-02,2004,OTHER OFFENSE,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2004-02,2004,OTHER OFFENSE,POLICE FACILITY/VEH PARKING LOT,1,1,1
2004-02,2004,OTHER OFFENSE,RESTAURANT,1,1,1
2004-02,2004,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-02,2004,OTHER OFFENSE,SIDEWALK,1,1,1
2004-02,2004,OTHER OFFENSE,VACANT LOT/LAND,1,1,1
2004-02,2004,PUBLIC PEACE VIOLATION,GAS STATION,1,1,1
2004-02,2004,PUBLIC PEACE VIOLATION,RESIDENCE,1,1,1
2004-02,2004,PUBLIC PEACE VIOLATION,"SCHOOL, PRIVATE, BUILDING",1,1,1
2004-02,2004,PUBLIC PEACE VIOLATION,STREET,1,1,1
2004-02,2004,ROBBERY,APARTMENT,1,1,1
2004-02,2004,ROBBERY,GROCERY FOOD STORE,1,1,1
2004-02,2004,ROBBERY,RESIDENCE PORCH/HALLWAY,1,1,1
2004-02,2004,ROBBERY,RESIDENTIAL YARD (FRONT/BACK),1,1,1
2004-02,2004,ROBBERY,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-02,2004,ROBBERY,SMALL RETAIL STORE,1,1,1
2004-02,2004,ROBBERY,TAXICAB,1,1,1
2004-02,2004,SEX OFFENSE,ALLEY,1,1,1
2004-02,2004,SEX OFFENSE,APARTMENT,1,1,1
2004-02,2004,SEX OFFENSE,CHA APARTMENT,1,1,1
2004-02,2004,SEX OFFENSE,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-02,2004,SEX OFFENSE,SIDEWALK,1,1,1
2004-02,2004,STALKING,STREET,1,1,1
2004-02,2004,THEFT,ABANDONED BUILDING,1,1,1
2004-02,2004,THEFT,BANK,1,1,1
2004-02,2004,THEFT,BAR OR TAVERN,1,1,1
2004-02,2004,THEFT,BARBERSHOP,1,1,1
2004-02,2004,THEFT,CAR WASH,1,1,1
2004-02,2004,THEFT,CHA PARKING LOT/GROUNDS,1,1,1
2004-02,2004,THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,1,1
2004-02,2004,THEFT,COMMERCIAL / BUSINESS OFFICE,1,1,1
2004-02,2004,THEFT,CTA GARAGE / OTHER PROPERTY,1,1,1
2004-02,2004,THEFT,DELIVERY TRUCK,1,1,1
2004-02,2004,THEFT,GOVERNMENT BUILDING/PROPERTY,1,1,1
2004-02,2004,THEFT,POLICE FACILITY/VEH PARKING LOT,1,1,1
2004-02,2004,THEFT,RESIDENTIAL YARD (FRONT/BACK),1,1,1
2004-02,2004,THEFT,TAVERN/LIQUOR STORE,1,1,1
2004-02,2004,WEAPONS VIOLATION,ALLEY,1,1,1
2004-02,2004,WEAPONS VIOLATION,CHA HALLWAY/STAIRWELL/ELEVATOR,1,1,1
2004-02,2004,WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,1,1,1
2004-03,2004,NARCOTICS,STREET,321,31,10.35
2004-03,2004,NARCOTICS,SIDEWALK,275,31,8.87
2004-03,2004,BATTERY,RESIDENCE,114,29,3.93
2004-03,2004,BATTERY,STREET,109,27,4.04
2004-03,2004,MOTOR VEHICLE THEFT,STREET,88,29,3.03
2004-03,2004,BATTERY,SIDEWALK,76,26,2.92
2004-03,2004,BATTERY,APARTMENT,75,26,2.88
2004-03,2004,CRIMINAL DAMAGE,STREET,73,28,2.61
2004-03,2004,THEFT,STREET,70,30,2.33
2004-03,2004,OTHER OFFENSE,RESIDENCE,55,24,2.29
2004-03,2004,BATTERY,"SCHOOL, PUBLIC, BUILDING",38,19,2
2004-03,2004,NARCOTICS,ALLEY,38,21,1.81
2004-03,2004,THEFT,RESIDENCE,38,20,1.9
2004-03,2004,ROBBERY,STREET,36,20,1.8
2004-03,2004,CRIMINAL DAMAGE,RESIDENCE,32,21,1.52
2004-03,2004,PROSTITUTION,STREET,30,15,2
2004-03,2004,ASSAULT,STREET,28,20,1.4
2004-03,2004,ASSAULT,RESIDENCE,27,19,1.42
2004-03,2004,CRIMINAL DAMAGE,APARTMENT,27,22,1.23
2004-03,2004,NARCOTICS,RESIDENCE,26,19,1.37
2004-03,2004,BURGLARY,RESIDENCE,24,16,1.5
2004-03,2004,ASSAULT,"SCHOOL, PUBLIC, BUILDING",23,13,1.77
2004-03,2004,ASSAULT,SIDEWALK,23,15,1.53
2004-03,2004,OTHER OFFENSE,STREET,23,17,1.35
2004-03,2004,CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,21,16,1.31
2004-03,2004,OTHER OFFENSE,APARTMENT,21,14,1.5
2004-03,2004,ROBBERY,SIDEWALK,21,16,1.31
2004-03,2004,THEFT,APARTMENT,21,14,1.5
2004-03,2004,THEFT,GROCERY FOOD STORE,20,17,1.18
2004-03,2004,ASSAULT,APARTMENT,17,14,1.21
2004-03,2004,BURGLARY,APARTMENT,16,12,1.33
2004-03,2004,BATTERY,ALLEY,13,13,1
2004-03,2004,NARCOTICS,CHA PARKING LOT/GROUNDS,13,8,1.62
2004-03,2004,THEFT,"SCHOOL, PUBLIC, BUILDING",12,8,1.5
2004-03,2004,THEFT,OTHER,11,9,1.22
2004-03,2004,BATTERY,CHA APARTMENT,10,10,1
2004-03,2004,BATTERY,OTHER,10,8,1.25
2004-03,2004,BATTERY,RESIDENCE PORCH/HALLWAY,10,9,1.11
2004-03,2004,CRIMINAL TRESPASS,CHA HALLWAY/STAIRWELL/ELEVATOR,10,7,1.43
2004-03,2004,NARCOTICS,OTHER,10,9,1.11
2004-03,2004,PROSTITUTION,SIDEWALK,9,8,1.12
2004-03,2004,CRIMINAL DAMAGE,OTHER,8,7,1.14
2004-03,2004,CRIMINAL TRESPASS,CTA PLATFORM,8,7,1.14
2004-03,2004,CRIMINAL TRESPASS,RESIDENCE,8,7,1.14
2004-03,2004,DECEPTIVE PRACTICE,RESIDENCE,8,5,1.6
2004-03,2004,NARCOTICS,CHA HALLWAY/STAIRWELL/ELEVATOR,8,5,1.6
2004-03,2004,NARCOTICS,VEHICLE NON-COMMERCIAL,8,6,1.33
2004-03,2004,WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",8,7,1.14
2004-03,2004,ASSAULT,RESIDENCE PORCH/HALLWAY,7,7,1
2004-03,2004,BATTERY,VEHICLE NON-COMMERCIAL,7,7,1
2004-03,2004,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),7,7,1
2004-03,2004,GAMBLING,SIDEWALK,7,7,1
2004-03,2004,ROBBERY,ALLEY,7,7,1
2004-03,2004,THEFT,PARKING LOT/GARAGE(NON.RESID.),7,5,1.4
2004-03,2004,WEAPONS VIOLATION,STREET,7,7,1
2004-03,2004,BATTERY,GAS STATION,6,6,1
2004-03,2004,BURGLARY,RESIDENCE-GARAGE,6,5,1.2
2004-03,2004,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,6,6,1
2004-03,2004,NARCOTICS,VACANT LOT/LAND,6,5,1.2
2004-03,2004,OFFENSE INVOLVING CHILDREN,RESIDENCE,6,6,1
2004-03,2004,OTHER OFFENSE,OTHER,6,6,1
2004-03,2004,THEFT,GAS STATION,6,6,1
2004-03,2004,THEFT,"SCHOOL, PUBLIC, GROUNDS",6,5,1.2
2004-03,2004,THEFT,SIDEWALK,6,6,1
2004-03,2004,ASSAULT,GROCERY FOOD STORE,5,4,1.25
2004-03,2004,BATTERY,RESTAURANT,5,5,1
2004-03,2004,BATTERY,"SCHOOL, PUBLIC, GROUNDS",5,5,1
2004-03,2004,NARCOTICS,APARTMENT,5,5,1
2004-03,2004,NARCOTICS,RESIDENCE PORCH/HALLWAY,5,4,1.25
2004-03,2004,NARCOTICS,"SCHOOL, PUBLIC, BUILDING",5,5,1
2004-03,2004,OFFENSE INVOLVING CHILDREN,APARTMENT,5,4,1.25
2004-03,2004,ROBBERY,GAS STATION,5,5,1
2004-03,2004,THEFT,HOSPITAL BUILDING/GROUNDS,5,5,1
2004-03,2004,THEFT,VEHICLE NON-COMMERCIAL,5,4,1.25
2004-03,2004,ASSAULT,ALLEY,4,4,1
2004-03,2004,ASSAULT,CHA APARTMENT,4,3,1.33
2004-03,2004,ASSAULT,OTHER,4,4,1
2004-03,2004,ASSAULT,RESTAURANT,4,4,1
2004-03,2004,ASSAULT,SMALL RETAIL STORE,4,4,1
2004-03,2004,BATTERY,CHA PARKING LOT/GROUNDS,4,4,1
2004-03,2004,CRIMINAL TRESPASS,OTHER,4,3,1.33
2004-03,2004,MOTOR VEHICLE THEFT,RESIDENCE-GARAGE,4,3,1.33
2004-03,2004,MOTOR VEHICLE THEFT,VACANT LOT/LAND,4,4,1
2004-03,2004,NARCOTICS,GAS STATION,4,4,1
2004-03,2004,ROBBERY,RESIDENCE PORCH/HALLWAY,4,4,1
2004-03,2004,THEFT,VEHICLE-COMMERCIAL,4,4,1
2004-03,2004,ASSAULT,GAS STATION,3,3,1
2004-03,2004,ASSAULT,TAVERN/LIQUOR STORE,3,3,1
2004-03,2004,BATTERY,VACANT LOT/LAND,3,3,1
2004-03,2004,BURGLARY,VACANT LOT/LAND,3,3,1
2004-03,2004,CRIMINAL DAMAGE,ALLEY,3,3,1
2004-03,2004,CRIMINAL DAMAGE,CTA BUS,3,3,1
2004-03,2004,CRIMINAL DAMAGE,RESIDENCE-GARAGE,3,3,1
2004-03,2004,CRIMINAL DAMAGE,RESTAURANT,3,3,1
2004-03,2004,CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING",3,3,1
2004-03,2004,CRIMINAL TRESPASS,SMALL RETAIL STORE,3,3,1
2004-03,2004,MOTOR VEHICLE THEFT,GAS STATION,3,3,1
2004-03,2004,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),3,3,1
2004-03,2004,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),3,2,1.5
2004-03,2004,PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, BUILDING",3,3,1
2004-03,2004,ROBBERY,RESIDENCE,3,3,1
2004-03,2004,ROBBERY,VEHICLE NON-COMMERCIAL,3,3,1
2004-03,2004,THEFT,"SCHOOL, PRIVATE, BUILDING",3,3,1
2004-03,2004,WEAPONS VIOLATION,RESIDENCE,3,3,1
2004-03,2004,ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,2,2,1
2004-03,2004,ASSAULT,CHA PARKING LOT/GROUNDS,2,2,1
2004-03,2004,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",2,2,1
2004-03,2004,BATTERY,BAR OR TAVERN,2,2,1
2004-03,2004,BATTERY,CHA HALLWAY/STAIRWELL/ELEVATOR,2,2,1
2004-03,2004,BATTERY,FACTORY/MANUFACTURING BUILDING,2,2,1
2004-03,2004,BATTERY,GROCERY FOOD STORE,2,2,1
2004-03,2004,BATTERY,PARK PROPERTY,2,2,1
2004-03,2004,BATTERY,"SCHOOL, PRIVATE, BUILDING",2,2,1
2004-03,2004,BATTERY,TAVERN/LIQUOR STORE,2,2,1
2004-03,2004,BURGLARY,OTHER,2,2,1
2004-03,2004,CRIMINAL DAMAGE,COIN OPERATED MACHINE,2,2,1
2004-03,2004,CRIMINAL DAMAGE,CTA PLATFORM,2,2,1
2004-03,2004,CRIMINAL DAMAGE,GAS STATION,2,2,1
2004-03,2004,CRIMINAL DAMAGE,VACANT LOT/LAND,2,2,1
2004-03,2004,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,2,2,1
2004-03,2004,CRIMINAL TRESPASS,APARTMENT,2,2,1
2004-03,2004,CRIMINAL TRESPASS,CHA APARTMENT,2,2,1
2004-03,2004,CRIMINAL TRESPASS,GAS STATION,2,2,1
2004-03,2004,CRIMINAL TRESPASS,GROCERY FOOD STORE,2,2,1
2004-03,2004,CRIMINAL TRESPASS,RESIDENCE PORCH/HALLWAY,2,2,1
2004-03,2004,CRIMINAL TRESPASS,RESIDENCE-GARAGE,2,2,1
2004-03,2004,CRIMINAL TRESPASS,STREET,2,2,1
2004-03,2004,DECEPTIVE PRACTICE,APARTMENT,2,2,1
2004-03,2004,DECEPTIVE PRACTICE,OTHER,2,2,1
2004-03,2004,HOMICIDE,AUTO,2,1,2
2004-03,2004,INTERFERENCE WITH PUBLIC OFFICER,STREET,2,2,1
2004-03,2004,MOTOR VEHICLE THEFT,ALLEY,2,2,1
2004-03,2004,MOTOR VEHICLE THEFT,OTHER,2,2,1
2004-03,2004,NARCOTICS,CTA PLATFORM,2,2,1
2004-03,2004,NARCOTICS,GROCERY FOOD STORE,2,2,1
2004-03,2004,NARCOTICS,PARK PROPERTY,2,2,1
2004-03,2004,OTHER OFFENSE,CHA APARTMENT,2,2,1
2004-03,2004,OTHER OFFENSE,RESTAURANT,2,2,1
2004-03,2004,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,2,2,1
2004-03,2004,PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,2,2,1
2004-03,2004,PUBLIC PEACE VIOLATION,STREET,2,2,1
2004-03,2004,ROBBERY,OTHER,2,2,1
2004-03,2004,ROBBERY,PARK PROPERTY,2,2,1
2004-03,2004,THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,2,1
2004-03,2004,THEFT,CONSTRUCTION SITE,2,2,1
2004-03,2004,THEFT,CTA BUS,2,2,1
2004-03,2004,THEFT,GOVERNMENT BUILDING/PROPERTY,2,2,1
2004-03,2004,THEFT,PARK PROPERTY,2,2,1
2004-03,2004,THEFT,POLICE FACILITY/VEH PARKING LOT,2,2,1
2004-03,2004,THEFT,RESIDENCE PORCH/HALLWAY,2,2,1
2004-03,2004,THEFT,RESTAURANT,2,2,1
2004-03,2004,THEFT,SMALL RETAIL STORE,2,2,1
2004-03,2004,THEFT,VACANT LOT/LAND,2,2,1
2004-03,2004,WEAPONS VIOLATION,SIDEWALK,2,2,1
2004-03,2004,ARSON,APARTMENT,1,1,1
2004-03,2004,ARSON,RESIDENCE,1,1,1
2004-03,2004,ARSON,VEHICLE NON-COMMERCIAL,1,1,1
2004-03,2004,ASSAULT,BAR OR TAVERN,1,1,1
2004-03,2004,ASSAULT,CLEANING STORE,1,1,1
2004-03,2004,ASSAULT,COMMERCIAL / BUSINESS OFFICE,1,1,1
2004-03,2004,ASSAULT,CTA BUS,1,1,1
2004-03,2004,ASSAULT,CTA PLATFORM,1,1,1
2004-03,2004,ASSAULT,DAY CARE CENTER,1,1,1
2004-03,2004,ASSAULT,DEPARTMENT STORE,1,1,1
2004-03,2004,ASSAULT,DRIVEWAY - RESIDENTIAL,1,1,1
2004-03,2004,ASSAULT,DRUG STORE,1,1,1
2004-03,2004,ASSAULT,GOVERNMENT BUILDING/PROPERTY,1,1,1
2004-03,2004,ASSAULT,HOTEL/MOTEL,1,1,1
2004-03,2004,ASSAULT,MEDICAL/DENTAL OFFICE,1,1,1
2004-03,2004,ASSAULT,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2004-03,2004,ASSAULT,VEHICLE NON-COMMERCIAL,1,1,1
2004-03,2004,ASSAULT,WAREHOUSE,1,1,1
2004-03,2004,BATTERY,CTA BUS,1,1,1
2004-03,2004,BATTERY,CTA PLATFORM,1,1,1
2004-03,2004,BATTERY,DEPARTMENT STORE,1,1,1
2004-03,2004,BATTERY,DRIVEWAY - RESIDENTIAL,1,1,1
2004-03,2004,BATTERY,GOVERNMENT BUILDING/PROPERTY,1,1,1
2004-03,2004,BATTERY,HOTEL/MOTEL,1,1,1
2004-03,2004,BATTERY,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2004-03,2004,BATTERY,"SCHOOL, PRIVATE, GROUNDS",1,1,1
2004-03,2004,BATTERY,SMALL RETAIL STORE,1,1,1
2004-03,2004,BURGLARY,BARBERSHOP,1,1,1
2004-03,2004,BURGLARY,RESIDENCE PORCH/HALLWAY,1,1,1
2004-03,2004,CRIM SEXUAL ASSAULT,ALLEY,1,1,1
2004-03,2004,CRIM SEXUAL ASSAULT,VEHICLE NON-COMMERCIAL,1,1,1
2004-03,2004,CRIMINAL DAMAGE,BAR OR TAVERN,1,1,1
2004-03,2004,CRIMINAL DAMAGE,CHA APARTMENT,1,1,1
2004-03,2004,CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,1,1,1
2004-03,2004,CRIMINAL DAMAGE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,1,1
2004-03,2004,CRIMINAL DAMAGE,CURRENCY EXCHANGE,1,1,1
2004-03,2004,CRIMINAL DAMAGE,DRIVEWAY - RESIDENTIAL,1,1,1
2004-03,2004,CRIMINAL DAMAGE,HOTEL/MOTEL,1,1,1
2004-03,2004,CRIMINAL DAMAGE,OTHER COMMERCIAL TRANSPORTATION,1,1,1
2004-03,2004,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),1,1,1
2004-03,2004,CRIMINAL DAMAGE,TAXICAB,1,1,1
2004-03,2004,CRIMINAL TRESPASS,ALLEY,1,1,1
2004-03,2004,CRIMINAL TRESPASS,CTA GARAGE / OTHER PROPERTY,1,1,1
2004-03,2004,CRIMINAL TRESPASS,DRIVEWAY - RESIDENTIAL,1,1,1
2004-03,2004,CRIMINAL TRESPASS,NURSING HOME/RETIREMENT HOME,1,1,1
2004-03,2004,CRIMINAL TRESPASS,TAVERN/LIQUOR STORE,1,1,1
2004-03,2004,DECEPTIVE PRACTICE,BANK,1,1,1
2004-03,2004,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,1,1,1
2004-03,2004,DECEPTIVE PRACTICE,GROCERY FOOD STORE,1,1,1
2004-03,2004,DECEPTIVE PRACTICE,SIDEWALK,1,1,1
2004-03,2004,DECEPTIVE PRACTICE,SMALL RETAIL STORE,1,1,1
2004-03,2004,DECEPTIVE PRACTICE,STREET,1,1,1
2004-03,2004,GAMBLING,STREET,1,1,1
2004-03,2004,GAMBLING,TAVERN/LIQUOR STORE,1,1,1
2004-03,2004,HOMICIDE,STREET,1,1,1
2004-03,2004,INTERFERENCE WITH PUBLIC OFFICER,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-03,2004,INTIMIDATION,RESIDENCE,1,1,1
2004-03,2004,INTIMIDATION,STREET,1,1,1
2004-03,2004,KIDNAPPING,PARK PROPERTY,1,1,1
2004-03,2004,KIDNAPPING,SIDEWALK,1,1,1
2004-03,2004,KIDNAPPING,STREET,1,1,1
2004-03,2004,LIQUOR LAW VIOLATION,CONVENIENCE STORE,1,1,1
2004-03,2004,LIQUOR LAW VIOLATION,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-03,2004,MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL,1,1,1
2004-03,2004,MOTOR VEHICLE THEFT,HOTEL/MOTEL,1,1,1
2004-03,2004,MOTOR VEHICLE THEFT,POLICE FACILITY/VEH PARKING LOT,1,1,1
2004-03,2004,MOTOR VEHICLE THEFT,RESIDENTIAL YARD (FRONT/BACK),1,1,1
2004-03,2004,NARCOTICS,ABANDONED BUILDING,1,1,1
2004-03,2004,NARCOTICS,CTA BUS,1,1,1
2004-03,2004,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,1,1,1
2004-03,2004,OFFENSE INVOLVING CHILDREN,SIDEWALK,1,1,1
2004-03,2004,OFFENSE INVOLVING CHILDREN,STREET,1,1,1
2004-03,2004,OTHER OFFENSE,ALLEY,1,1,1
2004-03,2004,OTHER OFFENSE,COLLEGE/UNIVERSITY GROUNDS,1,1,1
2004-03,2004,OTHER OFFENSE,DRUG STORE,1,1,1
2004-03,2004,OTHER OFFENSE,GOVERNMENT BUILDING/PROPERTY,1,1,1
2004-03,2004,OTHER OFFENSE,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2004-03,2004,OTHER OFFENSE,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-03,2004,OTHER OFFENSE,SIDEWALK,1,1,1
2004-03,2004,OTHER OFFENSE,SMALL RETAIL STORE,1,1,1
2004-03,2004,PUBLIC PEACE VIOLATION,APARTMENT,1,1,1
2004-03,2004,PUBLIC PEACE VIOLATION,OTHER,1,1,1
2004-03,2004,PUBLIC PEACE VIOLATION,RESIDENCE,1,1,1
2004-03,2004,PUBLIC PEACE VIOLATION,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2004-03,2004,ROBBERY,APARTMENT,1,1,1
2004-03,2004,ROBBERY,CHA HALLWAY/STAIRWELL/ELEVATOR,1,1,1
2004-03,2004,ROBBERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,1,1
2004-03,2004,ROBBERY,CTA PLATFORM,1,1,1
2004-03,2004,ROBBERY,CTA TRAIN,1,1,1
2004-03,2004,ROBBERY,PARKING LOT/GARAGE(NON.RESID.),1,1,1
2004-03,2004,ROBBERY,RESTAURANT,1,1,1
2004-03,2004,ROBBERY,VACANT LOT/LAND,1,1,1
2004-03,2004,SEX OFFENSE,APARTMENT,1,1,1
2004-03,2004,SEX OFFENSE,CTA PLATFORM,1,1,1
2004-03,2004,SEX OFFENSE,"SCHOOL, PUBLIC, BUILDING",1,1,1
2004-03,2004,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2004-03,2004,SEX OFFENSE,SIDEWALK,1,1,1
2004-03,2004,SEX OFFENSE,VEHICLE NON-COMMERCIAL,1,1,1
2004-03,2004,STALKING,CTA PLATFORM,1,1,1
2004-03,2004,THEFT,APPLIANCE STORE,1,1,1
2004-03,2004,THEFT,CHA APARTMENT,1,1,1
2004-03,2004,THEFT,COMMERCIAL / BUSINESS OFFICE,1,1,1
2004-03,2004,THEFT,DEPARTMENT STORE,1,1,1
2004-03,2004,THEFT,FACTORY/MANUFACTURING BUILDING,1,1,1
2004-03,2004,THEFT,FIRE STATION,1,1,1
2004-03,2004,THEFT,MOVIE HOUSE/THEATER,1,1,1
2004-03,2004,THEFT,RESIDENCE-GARAGE,1,1,1
2004-03,2004,THEFT,RESIDENTIAL YARD (FRONT/BACK),1,1,1
2004-03,2004,THEFT,TAVERN/LIQUOR STORE,1,1,1
2004-03,2004,WEAPONS VIOLATION,ALLEY,1,1,1
2004-03,2004,WEAPONS VIOLATION,APARTMENT,1,1,1
2004-03,2004,WEAPONS VIOLATION,BAR OR TAVERN,1,1,1
2004-03,2004,WEAPONS VIOLATION,GROCERY FOOD STORE,1,1,1
2004-03,2004,WEAPONS VIOLATION,OTHER,1,1,1
2004-03,2004,WEAPONS VIOLATION,RESIDENCE PORCH/HALLWAY,1,1,1
2004-03,2004,WEAPONS VIOLATION,"SCHOOL, PUBLIC, GROUNDS",1,1,1
2004-03,2004,WEAPONS VIOLATION,VACANT LOT/LAND,1,1,1
2004-04,2004,NARCOTICS,STREET,379,30,12.63
2004-04,2004,NARCOTICS,SIDEWALK,326,30,10.87
2004-04,2004,PROSTITUTION,STREET,102,21,4.86
2004-04,2004,BATTERY,STREET,98,29,3.38
2004-04,2004,BATTERY,RESIDENCE,96,29,3.31
2004-04,2004,BATTERY,SIDEWALK,84,28,3
2004-04,2004,BATTERY,APARTMENT,70,26,2.69
2004-04,2004,THEFT,STREET,70,29,2.41
2004-04,2004,MOTOR VEHICLE THEFT,STREET,64,25,2.56
2004-04,2004,CRIMINAL DAMAGE,STREET,57,27,2.11
2004-04,2004,CRIMINAL DAMAGE,RESIDENCE,47,24,1.96
2004-04,2004,OTHER OFFENSE,RESIDENCE,45,26,1.73
2004-04,2004,NARCOTICS,ALLEY,34,19,1.79
2004-04,2004,THEFT,RESIDENCE,32,20,1.6
2004-04,2004,ASSAULT,RESIDENCE,29,19,1.53
2004-04,2004,ASSAULT,STREET,29,20,1.45
2004-04,2004,ROBBERY,STREET,29,22,1.32
2004-04,2004,CRIMINAL DAMAGE,APARTMENT,27,12,2.25
2004-04,2004,CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,27,18,1.5
2004-04,2004,THEFT,GROCERY FOOD STORE,24,18,1.33
2004-04,2004,NARCOTICS,RESIDENCE,21,15,1.4
2004-04,2004,BATTERY,"SCHOOL, PUBLIC, BUILDING",20,11,1.82
2004-04,2004,BATTERY,ALLEY,19,13,1.46
2004-04,2004,OTHER OFFENSE,STREET,19,15,1.27
2004-04,2004,ROBBERY,SIDEWALK,19,15,1.27
2004-04,2004,ASSAULT,APARTMENT,18,14,1.29
2004-04,2004,OTHER OFFENSE,APARTMENT,18,13,1.38
2004-04,2004,ASSAULT,SIDEWALK,16,13,1.23
2004-04,2004,BATTERY,RESIDENCE PORCH/HALLWAY,15,11,1.36
2004-04,2004,CRIMINAL DAMAGE,OTHER,15,11,1.36
2004-04,2004,CRIMINAL TRESPASS,CHA HALLWAY/STAIRWELL/ELEVATOR,15,11,1.36
2004-04,2004,GAMBLING,SIDEWALK,15,12,1.25
2004-04,2004,THEFT,APARTMENT,15,12,1.25
2004-04,2004,THEFT,OTHER,15,15,1
2004-04,2004,BATTERY,OTHER,14,8,1.75
2004-04,2004,BURGLARY,RESIDENCE,14,12,1.17
2004-04,2004,PROSTITUTION,SIDEWALK,14,9,1.56
2004-04,2004,ASSAULT,"SCHOOL, PUBLIC, BUILDING",13,9,1.44
2004-04,2004,NARCOTICS,VACANT LOT/LAND,13,10,1.3
2004-04,2004,NARCOTICS,OTHER,12,9,1.33
2004-04,2004,OFFENSE INVOLVING CHILDREN,RESIDENCE,12,10,1.2
2004-04,2004,ASSAULT,OTHER,10,9,1.11
2004-04,2004,ASSAULT,RESIDENCE PORCH/HALLWAY,10,7,1.43
2004-04,2004,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),10,8,1.25
2004-04,2004,NARCOTICS,CHA PARKING LOT/GROUNDS,10,8,1.25
2004-04,2004,NARCOTICS,RESIDENCE PORCH/HALLWAY,9,9,1
2004-04,2004,ASSAULT,ALLEY,8,7,1.14
2004-04,2004,BURGLARY,APARTMENT,8,7,1.14
2004-04,2004,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),8,7,1.14
2004-04,2004,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,8,6,1.33
2004-04,2004,THEFT,PARKING LOT/GARAGE(NON.RESID.),8,7,1.14
2004-04,2004,CRIMINAL TRESPASS,RESIDENCE,7,6,1.17
2004-04,2004,BATTERY,CHA APARTMENT,6,5,1.2
2004-04,2004,BATTERY,PARK PROPERTY,6,6,1
2004-04,2004,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),6,6,1
2004-04,2004,NARCOTICS,APARTMENT,6,5,1.2
2004-04,2004,OTHER OFFENSE,OTHER,6,6,1
2004-04,2004,ROBBERY,ALLEY,6,6,1
2004-04,2004,THEFT,RESIDENCE PORCH/HALLWAY,6,4,1.5
2004-04,2004,THEFT,SIDEWALK,6,5,1.2
2004-04,2004,WEAPONS VIOLATION,STREET,6,5,1.2
2004-04,2004,BATTERY,PARKING LOT/GARAGE(NON.RESID.),5,4,1.25
2004-04,2004,BURGLARY,RESIDENCE-GARAGE,5,5,1
2004-04,2004,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,5,5,1
2004-04,2004,DECEPTIVE PRACTICE,STREET,5,3,1.67
2004-04,2004,NARCOTICS,CHA HALLWAY/STAIRWELL/ELEVATOR,5,5,1
2004-04,2004,ROBBERY,GAS STATION,5,5,1
2004-04,2004,THEFT,GAS STATION,5,5,1
2004-04,2004,THEFT,SMALL RETAIL STORE,5,4,1.25
2004-04,2004,WEAPONS VIOLATION,RESIDENCE,5,5,1
2004-04,2004,BATTERY,CHA HALLWAY/STAIRWELL/ELEVATOR,4,4,1
2004-04,2004,BATTERY,CHA PARKING LOT/GROUNDS,4,4,1
